Sentimiento,Regiones
N,Antioquia
P,Colombia
N,Colombia
N,En la bodega de petro
N,Colonia tovar
P,Colonia tovar
N,Manta 
N,Venezuela
N,Manizales
N,Bogota 
N,Cundinamarca
N,Colombia
N,Colombia
N,Cundinamarca
N,Atlantico
N,Colombia
N,Cable noticias
N,Antioquia
N,Colombia
N,Colombia
N,Colombia
N,Colombia
N,Antioquia
P,El cosmos
N,Httpowlyewt8c
N,Colombia
N,Colombia
N,Cundinamarca
N,Cundinamarca
N,Colombia
N,Ecuador
N,Colombia
N,Colombia
N,Colombia
N,Colombia
N,Colombia
N,Colombia
N,Colombia
N,Paradise
N,Cundinamarca
P,Monteria
P,Bolivar
N,Antioquia
N,Colombia
N,Zo the hell
N,Venezuela
N,Venezuela
N,Comunidad de madrid
N,Norte de Santander
N,Colombia
P,Calle 24 6
N,Colombia
P,Argentina peru italia
N,Argentina peru italia
N,Cundinamarca
N,Colombia
N,Colombia
N,La paz
N,Washington
N,Cundinamarca
P,Colombia
N,Cundinamarca
N,Continente americano
N,Colombia
N,Tolima
N,Colombia
N,Colombia
N,Colombia
P,Mexico
N,Complexo do lins
N,Barrancabermeja
N,Argentina 
P,Canada
N,Mexico city
N,Cundinamarca
P,Orlando florida
N,Chia
P,Colombia
P,Colombia
P,Puebla
N,Mexico  barcelona
N,Costa ricaecuadorlondres
N,Atlantico
P,Latinoamerica y espaa
N,Colombia
N,Colombia
N,Colombia
N,lalistajustin teamhdp
P,Colombia
P,Cundinamarca
N,Palmira
N,Colombia
N,En cualquier parte del planeta
N,Colombia
N,Miami
N,World citizen
P,Duitama
P,Duitama
N,Panama
N,Panama
N,Ecuador
N,Colombia
N,Mos eisley
N,Cala
N,Colombia
P,Latinoamerica
N,Mauthausengusen
N,Colombia
N,Quito
P,Ecuador
N,Valledupar
N,Cundinamarca
P,Valledupar
N,Caracas 
N,Bogota 
N,Valle de godric
N,Latinoamerica
N,Caracas
N,Miami
N,Venezuela
N,Caracas
N,Cundinamarca
N,Venezuela
N,Venezuela
P,Caracas
N,Cundinamarca
N,Colombia
N,Colombia
N,Norte de Santander
N,Norte de Santander
N,Venezuela
N,Norte de Santander
N,Argentina
N,Cundinamarca
P,Cundinamarca
N,Colombia
N,Latinoamerica
N,Colombia
N,We are global
N,Valle del Cauca
N,Caracas
N,Colombia
N,Caracas
N,Caracas
N,Antioquia
N,Colombia
N,Colombia
P,Caracas
N,Cundinamarca
N,Caracas 
N,Venezuela
N,Colombia
N,Cundinamarca
N,Colombia
N,Colombia
N,Colombia
N,Mar de ajo
P,Argentina
N,Colombia
N,Barquisimeto
N,Colombia
N,Colombia
N,Colombia
N,Colombia
N,No respondo dms
N,No respondo dms
N,No respondo dms
N,Argentina peru italia
N,Colombia 
N,Colombia 
N,Colombia
N,Cundinamarca
N,Ecuador
P,Colombia
P,La paz 
N,Colombia
N,Cundinamarca
N,Colombia
P,Colombia
N,Valle del Cauca
N,Zulia
N,Zulia
N,Santiago de cali
N,Colombia
N,Cundinamarca
N,Cundinamarca
N,Colombia
P,Cundinamarca
P,Colombia
